onset	duration	sample	trial_type	response_time	stim_file	value
12.0840000000	n/a	6042	cue	n/a	n/a	1
19.3840000000	n/a	9692	cue	n/a	n/a	1
26.3980000000	n/a	13199	cue	n/a	n/a	1
34.2240000000	n/a	17112	cue	n/a	n/a	1
42.2580000000	n/a	21129	cue	n/a	n/a	1
50.1480000000	n/a	25074	cue	n/a	n/a	1
59.1840000000	n/a	29592	cue	n/a	n/a	1
66.0080000000	n/a	33004	cue	n/a	n/a	1
74.2480000000	n/a	37124	cue	n/a	n/a	1
81.4080000000	n/a	40704	cue	n/a	n/a	1
89.6040000000	n/a	44802	cue	n/a	n/a	1
97.6280000000	n/a	48814	cue	n/a	n/a	1
106.7080000000	n/a	53354	cue	n/a	n/a	1
114.6780000000	n/a	57339	cue	n/a	n/a	1
122.8680000000	n/a	61434	cue	n/a	n/a	1
130.9240000000	n/a	65462	cue	n/a	n/a	1
138.0240000000	n/a	69012	cue	n/a	n/a	1
147.1200000000	n/a	73560	cue	n/a	n/a	1
154.4940000000	n/a	77247	cue	n/a	n/a	1
161.7840000000	n/a	80892	cue	n/a	n/a	1
170.0200000000	n/a	85010	cue	n/a	n/a	1
177.3940000000	n/a	88697	cue	n/a	n/a	1
185.7600000000	n/a	92880	cue	n/a	n/a	1
193.5540000000	n/a	96777	cue	n/a	n/a	1
200.5300000000	n/a	100265	cue	n/a	n/a	1
209.6540000000	n/a	104827	cue	n/a	n/a	1
218.6600000000	n/a	109330	cue	n/a	n/a	1
227.4400000000	n/a	113720	cue	n/a	n/a	1
234.9040000000	n/a	117452	cue	n/a	n/a	1
242.2700000000	n/a	121135	cue	n/a	n/a	1
259.3220000000	n/a	129661	task end	n/a	n/a	10
