name	type	units
AF3	EEG	uV
AF4	EEG	uV
F7	EEG	uV
F5	EEG	uV
F3	EEG	uV
F1	EEG	uV
Fz	EEG	uV
F2	EEG	uV
F4	EEG	uV
F6	EEG	uV
F8	EEG	uV
FT7	EEG	uV
FC5	EEG	uV
FC3	EEG	uV
FC1	EEG	uV
FCz	EEG	uV
FC2	EEG	uV
FC4	EEG	uV
FC6	EEG	uV
FT8	EEG	uV
T7	EEG	uV
C5	EEG	uV
C3	EEG	uV
C1	EEG	uV
Cz	EEG	uV
C2	EEG	uV
C4	EEG	uV
C6	EEG	uV
T8	EEG	uV
M1	EEG	uV
TP7	EEG	uV
CP5	EEG	uV
CP3	EEG	uV
CP1	EEG	uV
CPz	EEG	uV
CP2	EEG	uV
CP4	EEG	uV
CP6	EEG	uV
TP8	EEG	uV
M2	EEG	uV
P7	EEG	uV
P5	EEG	uV
P3	EEG	uV
P1	EEG	uV
Pz	EEG	uV
P2	EEG	uV
P4	EEG	uV
P6	EEG	uV
P8	EEG	uV
PO7	EEG	uV
PO5	EEG	uV
PO3	EEG	uV
POz	EEG	uV
PO4	EEG	uV
PO6	EEG	uV
PO8	EEG	uV
CB1	EEG	uV
O1	EEG	uV
Oz	EEG	uV
O2	EEG	uV
CB2	EEG	uV
VEO	VEOG	uV
HEO	HEOG	uV
EKG	ECG	uV
R-Dia-X-(mm)	PUPIL	mm
R-Dia-Y-(mm)	PUPIL	mm
