idx	name	type	units	ml	ap	dv
0	AF3	EEG	uV	-3.023524	12.428141	1.361401
1	AF4	EEG	uV	4.304501	11.727693	0.427403
2	F7	EEG	uV	-6.639328	8.170529	-1.52656
3	F5	EEG	uV	-5.876012	9.542894	0.800148
4	F3	EEG	uV	-4.22936	10.265764	2.418731
5	F1	EEG	uV	-1.882614	11.018632	4.587177
6	Fz	EEG	uV	0.596303	10.21707	4.293318
7	F2	EEG	uV	3.996278	10.694478	3.944555
8	F4	EEG	uV	5.631967	9.848669	2.084015
9	F6	EEG	uV	6.96956	8.879675	-0.060155
10	F8	EEG	uV	7.878357	7.523402	-2.148623
11	FT7	EEG	uV	-7.918441	5.400486	-0.685157
12	FC5	EEG	uV	-6.848348	6.44445	1.872787
13	FC3	EEG	uV	-5.007377	6.82072	4.378383
14	FC1	EEG	uV	-2.332303	7.275606	6.020996
15	FCz	EEG	uV	0.892164	7.275017	6.67603
16	FC2	EEG	uV	3.868832	7.218509	5.92926
17	FC4	EEG	uV	6.393416	6.765655	4.161855
18	FC6	EEG	uV	8.110071	5.963853	1.523854
19	FT8	EEG	uV	8.880818	4.564967	-1.282408
20	T7	EEG	uV	-8.34117	2.79848	0.226452
21	C5	EEG	uV	-7.438693	3.373324	3.054235
22	C3	EEG	uV	-5.931186	3.70971	6.488027
23	C1	EEG	uV	-2.569554	3.746717	7.996653
24	Cz	EEG	uV	1.032521	3.911274	8.476038
25	C2	EEG	uV	4.350667	3.569207	7.594067
26	C4	EEG	uV	6.801077	3.610167	5.548478
27	C6	EEG	uV	9.023433	2.739705	2.800857
28	T8	EEG	uV	8.986069	1.829011	-0.226452
29	M1	EEG	uV	-7.644597	-0.549069	-8.007587
30	TP7	EEG	uV	-8.254624	-0.373276	1.011124
31	CP5	EEG	uV	-7.370408	0.278624	4.028963
32	CP3	EEG	uV	-5.316664	0.049608	6.245472
33	CP1	EEG	uV	-2.702063	0.250874	8.319883
34	CPz	EEG	uV	0.627199	-0.010582	8.411424
35	CP2	EEG	uV	4.188373	-0.366793	7.784681
36	CP4	EEG	uV	6.730657	-0.589212	6.652807
37	CP6	EEG	uV	8.320402	-0.371316	3.73192
38	TP8	EEG	uV	8.799763	-0.721895	0.744581
39	M2	EEG	uV	7.864402	-0.341263	-8.226876
40	P7	EEG	uV	-7.14769	-2.857133	1.425296
41	P5	EEG	uV	-5.896095	-3.08476	3.659961
42	P3	EEG	uV	-3.990392	-3.311368	5.491853
43	P1	EEG	uV	-1.790996	-3.225753	6.718182
44	Pz	EEG	uV	0.559499	-2.994738	7.218447
45	P2	EEG	uV	2.982983	-3.442504	6.627176
46	P4	EEG	uV	5.367558	-3.552835	5.125538
47	P6	EEG	uV	6.927846	-3.798552	3.392559
48	P8	EEG	uV	7.864575	-3.658688	1.023157
49	PO7	EEG	uV	-5.260816	-5.210424	1.680544
50	PO5	EEG	uV	-3.805657	-5.398441	3.520525
51	PO3	EEG	uV	-1.695287	-5.760008	4.798353
52	POz	EEG	uV	0.620948	-5.819869	5.205846
53	PO4	EEG	uV	2.894593	-5.904253	4.664386
54	PO6	EEG	uV	4.777563	-6.086181	3.030508
55	PO8	EEG	uV	6.204419	-5.931612	1.100191
56	CB1	EEG	uV	-2.746747	-7.905792	0.18157
57	O1	EEG	uV	-2.994389	-7.100698	1.760379
58	Oz	EEG	uV	0.396758	-7.928689	2.063318
59	O2	EEG	uV	3.565017	-7.643452	1.469474
60	CB2	EEG	uV	3.304482	-8.550863	-0.418131
61	VEO	VEOG	uV	-4.985376	9.402884	-3.997588
62	HEO	HEOG	uV	-6.256028	5.891592	-6.05163
63	EKG	ECG	uV	-6.121837	-3.762735	-10.496158
64	R-Dia-X-(mm)	PUPIL	mm			
65	R-Dia-Y-(mm)	PUPIL	mm			
