idx,name,type,units,ml,ap,dv
0,AF3,EEG,uV,-3.781685,12.104668,0.126831
1,AF4,EEG,uV,3.507166,11.826867,-0.094139
2,F7,EEG,uV,-7.084586,7.72433,-2.178275
3,F5,EEG,uV,-6.413764,9.070823,-0.147248
4,F3,EEG,uV,-4.949174,10.022281,1.727061
5,F1,EEG,uV,-2.756549,11.070476,3.731042
6,Fz,EEG,uV,-0.011204,10.79444,4.094205
7,F2,EEG,uV,2.695402,10.811203,3.282568
8,F4,EEG,uV,4.998292,10.205988,1.855153
9,F6,EEG,uV,6.324036,8.822624,-0.433147
10,F8,EEG,uV,6.889577,7.278602,-2.481838
11,FT7,EEG,uV,-8.137226,5.143778,-1.275258
12,FC5,EEG,uV,-7.258483,6.230991,1.513398
13,FC3,EEG,uV,-5.849186,7.472104,4.473623
14,FC1,EEG,uV,-2.958954,8.070124,6.832656
15,FCz,EEG,uV,0.059364,7.901853,6.787534
16,FC2,EEG,uV,3.33565,8.010515,6.137058
17,FC4,EEG,uV,5.889531,7.287684,4.075331
18,FC6,EEG,uV,7.366364,6.192798,1.438781
19,FT8,EEG,uV,8.157968,4.671583,-1.23314
20,T7,EEG,uV,-8.461797,2.719437,-0.02061
21,C5,EEG,uV,-7.842123,3.42724,2.938109
22,C3,EEG,uV,-6.27681,3.979619,6.081021
23,C1,EEG,uV,-3.24208,4.246543,7.843157
24,Cz,EEG,uV,0.095306,4.624094,8.27686
25,C2,EEG,uV,3.543428,4.272329,7.48192
26,C4,EEG,uV,6.912586,4.179772,5.843534
27,C6,EEG,uV,8.157915,3.123658,2.830634
28,T8,EEG,uV,8.76151,2.193977,0.02061
29,M1,EEG,uV,-8.27946,-1.381179,-7.651895
30,TP7,EEG,uV,-8.09496,-0.023156,0.552379
31,CP5,EEG,uV,-7.858499,0.66469,4.112038
32,CP3,EEG,uV,-6.148758,0.623195,6.858466
33,CP1,EEG,uV,-3.162605,0.653701,8.503672
34,CPz,EEG,uV,0.007544,1.089265,9.540791
35,CP2,EEG,uV,3.419409,0.671901,8.807979
36,CP4,EEG,uV,6.162015,0.467462,6.955814
37,CP6,EEG,uV,7.889221,-0.063045,4.064806
38,TP8,EEG,uV,8.454808,-0.630678,1.158962
39,M2,EEG,uV,7.425814,-1.304396,-7.200603
40,P7,EEG,uV,-7.440671,-2.770534,1.542544
41,P5,EEG,uV,-6.573939,-2.943854,3.992497
42,P3,EEG,uV,-4.851263,-3.11188,6.638873
43,P1,EEG,uV,-2.590369,-2.860123,7.559482
44,Pz,EEG,uV,0.03005,-2.4926,8.468028
45,P2,EEG,uV,2.480607,-2.982465,7.510998
46,P4,EEG,uV,5.00969,-3.366729,6.204662
47,P6,EEG,uV,6.739175,-3.686784,4.120463
48,P8,EEG,uV,7.337563,-3.588445,1.734395
49,PO7,EEG,uV,-6.298204,-5.256761,2.327725
50,PO5,EEG,uV,-4.513468,-5.300172,4.063825
51,PO3,EEG,uV,-2.481358,-5.398386,5.392796
52,POz,EEG,uV,-0.09156,-5.413773,6.000526
53,PO4,EEG,uV,2.337534,-5.586821,5.654099
54,PO6,EEG,uV,4.407441,-5.854626,4.255562
55,PO8,EEG,uV,5.52849,-5.834333,2.105756
56,CB1,EEG,uV,-3.240142,-7.446408,0.862353
57,O1,EEG,uV,-3.572331,-6.922018,2.369359
58,Oz,EEG,uV,-0.303218,-7.562414,2.811743
59,O2,EEG,uV,2.968956,-7.455156,2.505148
60,CB2,EEG,uV,2.370026,-8.208788,0.414158
61,VEO,VEOG,uV,-6.706927,7.215849,-4.459677
62,HEO,HEOG,uV,-6.591616,4.786829,-6.659833
63,EKG,ECG,uV,-6.388007,-4.915267,-11.49397
64,R-Dia-X-(mm),PUPIL,mm,,,
65,R-Dia-Y-(mm),PUPIL,mm,,,
